DOI cattype cat T   log_conv    sel author  rxntype oxidant catalysis   single-site tag category
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO9    Fe  723 -1.62   20.50   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO10   Fe  673 -2.01   23.70   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO11   Fe  723 -1.52   17.30   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO12   Fe  673 -2.06   20.20   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO13   Fe  723 -1.47   15.80   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO14   Fe  673 -2.06   35.30   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1016/S0021-9517(03)00077-0   FePO4/MCM-41/PO15   Fe  723 -1.70   32.90   Wang    gas N2O heterogeneous   yes None    Phosphate/zeolite
10.1021/ie00016a002 V2O5/silicate   V   713 -3.30   13.30   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   733 -2.89   27.70   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   763 -1.94   10.10   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   713 -3.15   56.70   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   733 -2.54   31.30   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   763 -1.77   10.20   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   713 -2.55   18.40   Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   733 -2.04   8.70    Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   763 -1.33   2.70    Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   713 -2.31   6.80    Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   733 -1.75   3.10    Chen    gas N2O heterogeneous   no  None    Oxide
10.1021/ie00016a002 V2O5/silicate   V   763 -1.06   0.20    Chen    gas N2O heterogeneous   no  None    Oxide
10.1016/j.apcata.2004.09.005    ZSM-5   Fe  903 -0.95   16.51   Michalkiewicz   gas O2  heterogeneous   yes None    ZSM-5
10.1016/j.apcata.2004.09.005    ZSM-5   Fe  903 -0.72   14.17   Michalkiewicz   gas O2  heterogeneous   yes None    ZSM-5
10.1016/j.apcata.2004.09.005    ZSM-5   Fe  903 -0.50   10.79   Michalkiewicz   gas O2  heterogeneous   yes None    ZSM-5
10.1016/j.apcata.2004.09.005    ZSM-5   Fe  623 -3.22   74.37   Michalkiewicz   gas O2  heterogeneous   yes None    ZSM-5
10.1016/j.apcata.2004.09.005    ZSM-5   Fe  623 -3.15   69.13   Michalkiewicz   gas O2  heterogeneous   yes None    ZSM-5
10.1016/j.apcata.2004.09.005    ZSM-5   Fe  623 -3.00   63.47   Michalkiewicz   gas O2  heterogeneous   yes None    ZSM-5
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.51   2.10    Polniser    gas N2O heterogeneous   no  None    Phosphate
